emotion,organization,instruction,Whole_Class,Individual,Multiple,Peers,Task
1.00,0.80,0.91,-0.56,0.30,-0.03,0.54,-0.22
0.80,1.00,0.73,-0.26,-0.00,0.24,0.42,-0.24
0.91,0.73,1.00,-0.48,0.29,-0.16,0.65,-0.37
-0.56,-0.26,-0.48,1.00,-0.71,-0.16,-0.25,-0.08
0.30,-0.00,0.29,-0.71,1.00,0.15,-0.14,-0.20
-0.03,0.24,-0.16,-0.16,0.15,1.00,-0.27,-0.15
0.54,0.42,0.65,-0.25,-0.14,-0.27,1.00,-0.51
-0.22,-0.24,-0.37,-0.08,-0.20,-0.15,-0.51,1.00
